de_text,en_grtr,tr_llm,tr_llm_comet_score,tr_llm_chrF_score,tr_llm_glsr,tr_llm_glsr_comet_score,tr_llm_glsr_chrF_score
Die Organisation dieser verpflichtenden Übergabe obliegt der jeweiligen verantwortlichen Person.,The person responsible in each case is required to organize this mandatory task.,The organization of this mandatory handover is the responsibility of the respective person in charge.,0.789,45.45,The organization of this mandatory handover is the responsibility of the respective responsible person.,0.7933,47.0
"Der Abfallerzeuger hat bis zur Entsorgung sicherzustellen, dass von den Abfällen, den Behältern oder deren Inhalt keinerlei Gefahr für Personen oder die Umwelt ausgehen kann.",The waste producer must ensure that neither the waste itself nor its containers or their contents can pose any risk whatsoever to people or the environment right up until the waste is disposed of.,"The waste producer must ensure, up to disposal, that the waste, the containers, or their contents pose no danger to persons or the environment.",0.869,51.86,"The waste producer must ensure, until disposal, that the waste, the containers, or their contents pose no danger to people or the environment.",0.8766,55.72
Auflagen im Bereich des Brandschutzes müssen unbedingt beachtet werden.,Fire protection regulations must always be complied with.,Fire safety requirements must be strictly observed.,0.9085,18.27,Fire protection regulations must always be complied with.,0.9727,100.0
"Treppen, Flure, Verkehrswege und Ausgänge müssen stets freigehalten werden und dürfen, auch nicht kurzfristig, zugestellt werden.","Stairwells, corridors, traffic routes and exits must always be kept clear and must not be closed off even briefly.","Stairs, corridors, traffic routes and exits must always be kept clear and must not be blocked, even temporarily.",0.9132,75.77,"Stairs, corridors, passageways and exits must always be kept clear and must not be blocked, even on short notice.",0.8875,60.88
Es darf dort kein brennbares Material gelagert werden.,No flammable materials may be stored there.,No flammable material may be stored there.,0.9731,90.11,No flammable materials may be stored there.,0.9817,100.0
"Das Verbot einer nicht genehmigten Lagerung erstreckt sich ebenfalls über Abfälle mit anderen Gefahreneigenschaften, wie z. B. ätzenden oder giftigen Merkmalen.","The ban on unauthorized storage also covers waste that is hazardous for other reasons, e.g. due to its corrosive, poisonous or toxic properties.","The prohibition of unauthorized storage also extends to waste with other hazardous properties, such as corrosive or toxic characteristics.",0.8793,50.67,"The prohibition of unauthorized storage also applies regarding waste with other hazardous properties, such as corrosive or toxic characteristics.",0.8667,50.08
"Des Weiteren begünstigt das ungesicherte, vorzeitige Herausstellen des Abfalls das sogenannte Plündern bzw. Verstreuen des Abfalls, das wiederum zu einer Gefährdung und zusätzlichem Mehraufwand führen kann.","In addition, putting waste out for collection too early and without securing it first makes it more likely to be stolen or strewn around, which can pose a hazard and result in extra work and/or costs.","Furthermore, the unsecured, premature removal of the waste encourages the so-called scavenging or scattering of the waste, which in turn can lead to a hazard and additional effort.",0.7845,28.48,"Furthermore, unsecured, premature removal of waste encourages the so‑called scavenging or scattering of the waste, which can in turn lead to hazards and additional effort.",0.7978,28.17
"Im Gefahrgut- und Abfallrecht bestehen Vorgaben, die es erforderlich machen, die Inhaltsstoffe der Abfallgemische genauer zu beschreiben bzw. verbindlich festzulegen.",Hazardous materials and waste law contains provisions requiring the substances contained in mixtures of wastes to be described in more detail and specified with binding effect.,"In hazardous materials and waste law, there are provisions that require the components of waste mixtures to be described more precisely or to be definitively specified.",0.8523,51.78,"In dangerous‑goods and waste law, there are criteria that require the components of waste mixtures to be described more precisely or to be definitively specified.",0.8283,41.46
"Um diese Abfälle gemäß der gefahrgut- und abfallrechtlichen Vorgaben einstufen zu können, benötigt das Sachgebiet Entsorgung detaillierte Informationen über die Abfallzusammensetzung.",The Waste Management and Hazardous Materials Unit needs detailed information on the composition of this waste in order to classify it in accordance with these provisions.,"To classify these wastes according to hazardous material and waste regulations, the disposal department requires detailed information on the waste composition.",0.8267,49.77,"In order to classify this waste according to the hazardous goods and waste regulations criteria, the Disposal Unit requires detailed information regarding the waste composition.",0.8404,51.35
Diese Einstufung muss vorliegen und ist für neue Arbeitskreise vor der erstmaligen Entsorgung einzureichen.,This classification must have been done and must be submitted for new working groups before they dispose of any waste.,This classification must be in place and must be submitted for new work groups before the first disposal.,0.8617,67.88,The classification must be in place and submitted for new working groups prior to the initial disposal.,0.8452,54.87
Die darauffolgende Einstufung ist bis auf Widerruf verbindlich.,The classification below will remain in force until revoked.,The subsequent classification is binding until revoked.,0.8553,50.36,The classification below will remain in force until revoked.,0.9613,100.0
Ohne Vorlage dieses Formulars kann keine Entsorgung von Abfällen stattfinden.,No waste can be disposed of without presenting this form.,"Without presenting this form, no waste disposal can take place.",0.8526,65.59,No waste can be disposed of without presenting this form.,0.9584,100.0
"Der Abfallerzeuger ist verpflichtet, jegliche Änderung in der Zusammensetzung der Abfallgemische der Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut unmittelbar schriftlich anzuzeigen.","The waste producer is required to notify Section 4.1, Waste Management and Hazardous Materials Unit in writing without delay of any change to the composition of mixtures of wastes.",The waste producer is required to promptly report in writing any change in the composition of the waste mixtures of Department 4.1 – Disposal and Hazardous Materials.,0.8402,59.79,The waste producer must promptly notify in writing of any change in the composition of the waste mixtures in Section 4.1 – Waste Management and Hazardous Materials Unit.,0.8659,68.34
"Sollte sich ein Abfallgemisch anhand der Entsorgungsrichtlinie nicht zuordnen lassen, so bietet das Sachgebiet Entsorgung und Gefahrgut Hilfestellungen bei der Einstufung der Abfälle an.",The Waste Management and Hazardous Materials Unit can help to classify a mixture of wastes that cannot be categorized based on the waste disposal guidelines.,"If a waste mixture cannot be classified according to the disposal directive, the Department of Waste Management and Hazardous Materials provides assistance in classifying the waste.",0.8448,55.04,"If a waste mixture cannot be classified according to the Waste Disposal Guidelines, the Waste Management and Hazardous Materials Unit provides help and support for classifying the waste.",0.8592,61.44
Hierfür ist das Formular „Nicht zuzuordnende chemische Abfälle“ auszufüllen.,Please complete the form entitled “Non-Classifiable Chemical Waste” for this purpose.,The form “Unassignable chemical waste” must be filled out for this.,0.8005,31.66,Please complete the form entitled “Non-Classifiable Chemical Waste” for this purpose.,0.9575,100.0
"Ermittlung, d.h. welche Abfallarten fallen im Arbeitsbereich an.","Investigation, i.e. what types of waste are generated within your area of work?","Determination, i.e., which waste types arise in the work area.",0.8044,31.84,"Determination, i.e., which waste types occur in the area where you work.",0.8084,35.46
Stimmen die Inhaltsstoffe der anfallenden Abfälle mit den Abfallbeschreibungen unter Kapitel 8 bis 10 überein oder müssen Stoffe evtl. aufgrund der Möglichkeit von gefährlichen Reaktionen getrennt gesammelt werden?,"Do the substances contained in the waste generated match the descriptions of waste given in Sections 8 to 10, or might materials need to be collected separately due to the possibility of dangerous reactions?","Do the constituents of the waste generated correspond to the waste descriptions in Chapters 8 to 10, or must substances possibly be collected separately due to the potential for hazardous reactions?",0.8922,58.07,"Do the components of the waste generated correspond to the waste descriptions in chapters 8 to 10, or must substances possibly be collected separately because of the risk of hazardous reactions?",0.8895,53.51
Schriftliche Bestätigung der Abfallarten durch den Verantwortlichen.,Written confirmation of waste types from the person responsible.,Written confirmation of the waste types by the responsible person.,0.9059,74.1,Written confirmation of waste types from the person responsible.,0.9551,100.0
Die TRGS 201 „Einstufung und Kennzeichnung bei Tätigkeiten mit Gefahrstoffen“ regelt die Kennzeichnungsvorschriften für Abfälle.,TRGS 201 “Einstufung und Kennzeichnung bei Tätigkeiten mit Gefahrstoffen” (“Classification and Labeling for Activities Involving Hazardous Substances”) sets out the requirements for labeling waste.,TRGS 201 “Classification and Labelling for Activities with Hazardous Substances” regulates the labelling regulations for waste.,0.7544,45.44,TRGS 201 “Classification and Labeling for Activities Involving Hazardous Substances” governs the labeling regulations for waste.,0.7674,54.01
Auf Basis dieser TRGS und anderer Rechtsvorschriften werden den Abfallerzeugern für die einzelnen Abfallarten notwendigen Etiketten von der Abteilung 4.1 zur Verfügung gestellt.,Section 4.1 provides waste producers with the labels that they need for the individual types of waste on the basis of these technical rules and other statutory provisions.,"Based on these TRGS and other legal regulations, the necessary labels for the individual waste types are provided to waste generators by Department 4.1.",0.8005,38.71,"Based on these TRGS and other legal regulations, the necessary labels for each waste type are provided to waste producers by Section 4.1.",0.8256,38.68
Bei einigen Abfällen kann eine weitergehende Kennzeichnung aufgrund spezieller Gefahren erforderlich sein.,Some kinds of waste may require additional labeling on account of specific hazards.,"For certain waste, additional labeling may be required because of specific hazards.",0.9302,59.33,"For certain waste, additional labeling may be required because of specific hazards.",0.9302,59.33
"Dies ist besonders im Labor von Bedeutung, da hier u.U. mehrere Personen einen Abfallbehälter befüllen.","This is particularly relevant in a laboratory environment, because there may be several people tipping waste into the same container.","This is particularly important in the laboratory, as several people may fill a waste container here.",0.7917,49.58,"This is especially meaningful in the laboratory, as several people may fill a waste container here.",0.7729,40.29
"Der Abfallerzeuger ist dann dazu verpflichtet, die relevanten Gefahrenhinweise (H/EUH-Sätze) auf dem Etikett anzubringen.","In this case, the waste producer will be required to add the relevant hazard warnings (H/EUH phrases) to the label.",The waste generator is then required to affix the relevant hazard statements (H/EUH statements) on the label.,0.8262,47.42,The waste producer is then required to affix the relevant hazard statements (H/EUH phrases) to the label.,0.8905,66.77
"Abfälle können Stoffe enthalten, die bei der Berührung mit Wasser giftige Gase entwickeln.",waste may contain substances that give off toxic gases if they come into contact with water.,"Waste can contain substances that, when they come into contact with water, produce toxic gases.",0.9355,71.52,"Waste can contain substances that, when they come into contact with water, produce toxic gases.",0.9355,71.52
Dieser Behälter ist dann neben den bereits aufgedruckten Hinweisen zusätzlich vom Abfallerzeuger mit dem EUH-Satz 029 „Entwickelt bei Berührung mit Wasser giftige Gase“ zu kennzeichnen.,"As well as the warnings already printed on it, therefore, this container must also be labeled with EUH phrase 029, “Contact with water liberates toxic gas,” by the waste producer.","This container must, in addition to the already printed warnings, also be labeled by the waste generator with the EUH statement 029 “Develops toxic gases on contact with water.”",0.8429,55.79,"This container must, in addition to the already printed instructions, be marked by the waste producer with the EUH statement 029 “Develops toxic gases on contact with water.”",0.8444,50.74
"Es ist ausreichend, die Nummer des H/EUH-Satzes auf das Etikett zu schreiben.",Writing the number of the relevant H/EUH phrase on the label will suffice.,It is sufficient to write the number of the H/EUH sentence on the label.,0.8399,49.58,It is sufficient to write the number of the H/EUH sentence on the label.,0.8399,49.58
"Bestimmte Abfallgruppen können Inhaltsstoffe enthalten, die sog. KMR-Eigenschaften besitzen.",Certain groups of waste can contain substances with CMR properties.,Certain waste categories can contain ingredients that have so-called KMR properties.,0.8995,51.47,Certain groups of waste can contain substances with CMR properties.,0.971,100.0
"Für einige Abfallarten liegen hierzu gesicherte Erkenntnisse vor, d.h. auf den Etiketten sind die entsprechenden H-Sätze bereits aufgedruckt.","Reliable information is available for some types of waste, meaning that the relevant H phrases are pre-printed on the labels.","For some waste types, reliable information is available, i.e., the corresponding H statements are already printed on the labels.",0.8426,58.53,"For some waste types, reliable information is available; that is, the appropriate H statements are already printed on the labels.",0.8492,58.53
Andere Abfallarten können je nach Zusammensetzung Stoffe mit KMR-Eigenschaften enthalten.,Other types of waste may contain substances with CMR properties depending on their composition.,Other waste types may contain substances with KMR properties depending on their composition.,0.9409,83.88,Other waste types may contain substances with KMR properties depending on their composition.,0.9409,83.88
"Hier kann ausschließlich der Abfallerzeuger ermitteln, ob der Abfall als KMR-Stoff gekennzeichnet werden muss oder nicht.","In this case, only the waste producer can determine whether or not the waste has to be labeled as a CMR substance.",Here only the waste generator can determine whether the waste must be labeled as a KMR substance or not.,0.8917,61.84,Only the waste producer can determine here whether the waste must be labeled as a KMR substance or not.,0.9123,68.39
"Die TRGS 905 „Verzeichnis krebserzeugender, keimzellmutagener oder reproduktionstoxischer Stoffe“, gibt einen Überblick über die Stoffe, die nach ermittelten gesicherten wissenschaftlichen Erkenntnissen diese Eigenschaften aufweisen.","TRGS 905 “Verzeichnis krebserzeugender, keimzellmutagener oder reproduktionstoxischer Stoffe” (“List of Carcinogenic, Mutagenic and Reprotoxic Substances”) provides an overview of the substances that have these properties based on reliable scientific findings.","The TRGS 905 “List of carcinogenic, germ‑cell mutagenic or reproductive‑toxic substances” provides an overview of the substances that, according to established reliable scientific findings, possess these properties.",0.7463,56.09,"The TRGS 905 “List of carcinogenic, germ‑cell mutagenic or reproductive‑toxic substances” provides an Overview of the substances that, according to established and reliable scientific findings, exhibit these properties.",0.7295,54.87
"Die Kennzeichnungspflicht ist abhängig von der möglichen Konzentration der Abfallkomponente, die als Reinstoff mit einer KMR-Eigenschaft eingestuft ist.",Whether or not labeling is required depends on the potential concentration of the waste component that is classified as possessing a CMR property in its pure form.,The labeling requirement depends on the possible concentration of the waste component that is classified as a pure substance with a KMR property.,0.8258,63.75,The labeling requirement depends on the potential concentration of the waste component that is classified as a pure substance with a KMR property.,0.8345,68.88
Bzgl. der Berücksichtigungsgrenzen wird auf die Vorgaben der TRGS 201 verwiesen.,See the provisions of TRGS 201 for more information on allowed limits.,"Regarding the consideration limits, reference is made to the specifications of TRGS 201.",0.7837,36.99,See the provisions of TRGS 201 for more information on allowed limits.,0.9522,100.0
"Sofern der einzelne Abfallerzeuger definitiv weiß, dass die genannten Abfälle regelmäßig KMR-Stoffe enthalten, sind die Behälter mit den entsprechenden H-Sätzen zu kennzeichnen.","If an individual waste producer knows for certain that the waste in question routinely contains CMR substances, the containers must be labeled with the corresponding H phrases.","If the individual waste generator definitely knows that the mentioned wastes regularly contain KMR substances, the containers must be labeled with the corresponding H statements.",0.8368,64.24,"If the individual waste producer is certain that the specified waste regularly contains KMR substances, the containers must be labeled with the appropriate H statements.",0.8598,63.35
"Bei krebserzeugenden, erbgutverändernden und fortpflanzungsgefährdenden Stoffen der Kategorien 1 und 2 ist in jedem Fall der entsprechende H-Satz im Volltext auf dem Etikett anzugeben.","The corresponding H phrase must always be added in full to the label in the case of carcinogenic, mutagenic or reprotoxic substances in categories 1 or 2.","For carcinogenic, mutagenic and reproductive toxic substances of categories 1 and 2, the corresponding H statement in full text must always be indicated on the label.",0.8303,64.46,"For carcinogenic, mutagenic and reproductive‑hazard substances of categories 1 and 2, the corresponding H‑statement in full text must be indicated on the label in every scenario.",0.7953,57.11
"Für eine Klassifizierung der Abfälle, die nicht in der Entsorgungsrichtlinie genannt werden, ist mit dem Sachgebiet Entsorgung und Gefahrgut und dem Gefahrgutbeauftragten der Universität Bonn Rücksprache zu halten.",The Waste Management and Hazardous Materials Unit and the Hazardous Materials Officer of the University of Bonn must be consulted in order to classify waste not covered by the waste disposal guidelines.,"For a classification of waste that is not mentioned in the disposal directive, you should consult the waste and hazardous materials department and the hazardous materials officer of the University of Bonn.",0.8069,52.44,"For classifying waste not listed in the Waste Disposal Guidelines, you should consult the Waste Management and Hazardous Materials Unit and the hazardous materials officer at the University of Bonn.",0.8387,66.09
"Behälter, die nicht den genannten Transportbedingungen entsprechen, sind von der Übernahme ausgeschlossen.",Containers that do not meet the abovementioned criteria for transport cannot be accepted.,Containers that do not meet the specified transport conditions are excluded from acceptance.,0.8886,53.58,Containers that do not meet the specified transport conditions are excluded from acceptance.,0.8886,53.58
Mit diesem Abfalltagebuch soll das Entstehen von Abfallgemischen mit unbekannter Zusammensetzung bzw. potenziell gefährlicher Zusammensetzung minimiert werden.,in order to minimize the risk of producing mixtures of wastes of an unknown or potentially hazardous composition.,This waste log is intended to minimize the creation of waste mixtures with unknown or potentially hazardous composition.,0.8505,65.66,This Example of a Waste Journal is intended to minimize the creation of waste mixtures with unknown or potentially hazardous composition.,0.78,64.96
Dies bestätigt der Abfallerzeuger mit der Unterschrift auf dem internen Entsorgungsbeleg.,as confirmed by the waste producer signing the internal waste disposal document.,This is confirmed by the waste generator with the signature on the internal disposal record.,0.7604,54.49,as confirmed by the waste producer signing the internal waste disposal document.,0.9354,100.0
"Sollten Abfälle vorliegen, bei denen gefährliche Reaktionen nicht ausgeschlossen sind (z. B. Lösung mit Peroxiden), so ist der Abfallerzeuger verpflichtet, das Sachgebiet Entsorgung und Gefahrgut ausdrücklich und unverzüglich darauf aufmerksam zu machen.","If they have any waste that cannot be guaranteed as being safe from dangerous reactions (e.g. a solution containing peroxides), the waste producer is required to notify the Waste Management and Hazardous Materials Unit accordingly in no uncertain terms without delay.","If there are wastes for which dangerous reactions cannot be excluded (e.g., a solution containing peroxides), the waste generator is required to expressly and promptly notify the disposal and hazardous goods department.",0.8072,47.71,"If waste is present that could cause dangerous reactions (e.g., a solution containing peroxides), the waste producer must promptly and explicitly notify the Waste Management and Hazardous Materials Unit.",0.8217,58.39
Der Abfallerzeuger hat ggf. das Abfalltagebuch vorzulegen oder in anderer Form schriftlich die Inhaltsstoffe des Abfallgemisches anzugeben.,The waste producer must present the waste journal if required or indicate the substances contained in the mixture of wastes in writing by other means.,"The waste generator must, if applicable, submit the waste log or otherwise provide in writing the components of the waste mixture.",0.8185,36.82,"If required, the waste producer must submit the Example of a Waste Journal or otherwise provide the composition of the waste mixture in writing.",0.8001,47.21
Der Ablauf der Entsorgung wird dann im Einzelfall entschieden und bis zur Klärung verbleibt der Abfall beim Abfallerzeuger.,"A decision will then be made on how to dispose of it, and the waste will remain with the waste producer until the matter has been settled.","The disposal process will be decided on a case-by-case basis, and until clarification, the waste remains with the waste generator.",0.7882,36.69,"The process of disposal is decided on a case-by-case basis, and until clarification the waste remains with the waste producer.",0.8067,40.4
"Bei Abfallgemischen, bei denen der Abfallerzeuger keine Angabe über die Art des Inhalts machen kann, kann das Sachgebiet Entsorgung und Gefahrgut im Einzelfall eine abfalltechnische Analytik mit dem Ziel einer ordnungsgemäßen Einstufung beauftragen.","If the waste producer has some waste with unknown contents, the Waste Management and Hazardous Materials Unit may commission a technical analysis of the waste on a case by case basis in order to classify it correctly.","In cases of waste mixtures where the waste generator cannot specify the type of content, the waste disposal and hazardous materials department may, on a case‑by‑case basis, commission a waste‑technical analysis aimed at proper classification.",0.8152,48.72,"For waste mixtures where the waste producer cannot provide an Unspecified regarding the type of content, the Waste Management and Hazardous Materials Unit may, on a case‑by‑case basis, commission a waste‑technical analysis with the objective of a proper classification.",0.779,62.19
Die Kosten sowie die gegebenenfalls höheren Entsorgungskosten hierfür trägt der Abfallerzeuger.,The cost of this analysis plus any increased disposal costs will be borne by the waste producer.,"The costs, as well as any potentially higher disposal costs, are borne by the waste generator.",0.8486,46.61,"The costs, as well as any potentially higher disposal costs, are borne by the waste producer.",0.866,56.52
"Die Universität Bonn entsorgt ausschließlich die Abfälle, die im Rahmen des universitären Lehr- und Forschungsbetriebes anfallen.",The University of Bonn will only dispose of waste generated in the course of the teaching and research conducted there.,The University of Bonn disposes only the waste that arises in the course of its teaching and research activities.,0.8549,57.61,The University of Bonn disposes only the waste that arises from its teaching and research activities.,0.8453,48.85
Diese sind über die Stadt Bonn bzw. die Landkreise zu entsorgen.,"this must be done via the City of Bonn or, as appropriate, the rural districts.",These are to be disposed of by the city of Bonn or the districts.,0.69,35.72,These are to be disposed of regarding the city of Bonn or the districts.,0.5824,36.22
"Das ist der Bereich über das Endformat hinaus, der nachher abgeschnitten wird.",This is the area beyond the final size that will be cut off afterwards.,This is the area beyond the final format that will be cut off later.,0.836,72.3,"That is the team beyond the final format, which will be cut off later.",0.6638,50.38
Dieser sollte mindestens 2 mm betragen!,It should be at least 2 mm long!,It should be at least 2 mm!,0.9192,81.22,It should be at least 2 mm long!,0.9811,100.0
"Alle Objekte, die beim Endprodukt bis zur Papierkante gehen sollen, müssen bis zum äußersten Punkt dieses Bereiches gezogen werden!",All objects that are to extend right up to the edge of the paper on the finished product must be drawn to the outermost point of this area.,All objects that are intended to reach the edge of the paper in the final product must be extended to the outermost point of this area!,0.8351,70.39,All objects that should reach the paper edge in the final product must be drawn to the outermost point of that area!,0.8486,63.61
Bitte min. 4 mm Abstand zum Rand des Endformates positionieren!,Please leave at least a 4 mm gap from the edge of the final size.,Please position with a minimum 4 mm distance from the edge of the final format.,0.7944,49.59,Please keep at least 4 mm clearance from the edge of the final format.,0.8327,58.83
Beim Erstellen des Druck-PDF unbedingt die Schriften einbetten!,You must embed fonts when creating your PDF for printing.,"When creating the print PDF, be sure to embed the fonts!",0.8601,39.19,You must embed fonts when creating your PDF for printing!,0.9478,97.8
Wichtige Texte und Bilder sollten Sie wegen der Halterung 15 mm vom unteren Rand der Endgröße (sichtbarer Bereich) anlegen.,Important texts and images should be placed 15 mm from the bottom edge in the final layout (visible area) due to the bracket.,Important texts and images should be positioned 15 mm from the lower edge of the final size (visible area) due to the holder.,0.7785,67.0,"Because of the mounting, you should place important texts and images 15 mm from the lower edge of the final size (visible area).",0.7934,55.93
Für einen sauberen Übergang ohne Blitzer lassen Sie bitte Flächen und Bilder in den unteren Bereich auslaufen.,Please allow areas and images to bleed into the lower section to ensure a clean transition without any white gaps.,"For a clean transition without a flash, please let the areas and images bleed into the lower section.",0.8093,65.52,"For a smooth transition without flashers, please let the areas and images flow into the lower team.",0.6797,48.37
Alle ausgestellten Bilder sowie dieses Roll-up sind neue Produkte im Portfolio der Hausdruckerei!,All images shown as well as this roll-up are new products in University printing services’ portfolio.,All displayed pictures as well as this roll‑up are new products in the in‑house printing company's portfolio.,0.8696,55.26,"All displayed images, as well as this roll‑up, are new products in the University Printing Services’ portfolio.",0.8922,70.07
"Folgende Angaben sind, ergänzend zu Ihren oben genannten persönlichen Daten, für den Zugang zum Meldeportal nötig.","In order to be given access to the reporting portal, you will need to provide the following information in addition to your personal data specified above.","The following information, in addition to your personal data mentioned above, is required for access to the registration portal.",0.8233,56.47,"The following information, in addition to the personal data you provided above, is required to access the reporting portal.",0.874,59.8
"Verwenden Sie bitte ausschließlich eine E-Mail-Adresse, auf die lediglich Sie als Antragsteller Zugriff haben!",Please only specify an email address to which you—as the person making the request—have sole access.,"Please use only an email address that only you, as the applicant, have access to.",0.883,42.28,"Please use only an email address that only you, the applicant, have access to!",0.8834,40.81
Alle mit * gekennzeichneten Felder müssen ausgefüllt werden.,All boxes marked with * must be completed.,All fields marked with * must be filled out.,0.9416,54.44,All fields marked with * must be filled out.,0.9416,54.44
Dieser Bereich ist lediglich für interne Zwecke der Abt.4.6.,This section is for Section 4.6’s internal use only.,This area is for internal purposes only of Dept. 4.6.,0.7932,33.21,This section is for Section 4.6’s internal use only.,0.9695,100.0
"Die Bonner Online-Self-Assessments (OSA) sind fachspezifische Studienorientierungstests, die Studieninteressierten Einblicke in das jeweilige Fach geben.",Online Self-Assessments (OSAs) at the University of Bonn are tests designed to help prospective students choose a subject by giving them insights into it.,The Bonn Online Self-Assessments (OSA) are subject-specific study orientation tests that give prospective students insight into the respective subject.,0.8253,51.47,The Bonn Online Self-Assessments (OSAs) are subject‑specific study orientation tests that give prospective students insight into the respective discipline.,0.8339,53.72
"Durch die Auseinandersetzung mit den eigenen studien(fach)bezogenen Erwartungen, Interessen, Motiven, Stärken und Schwächen sowie deren Abgleich mit den „tatsächlichen“ Gegebenheiten im Fach sollen Studieninteressierte in ihrem Orientierungsprozess unterstützt werden.","The aim is to support them in their decision-making process by inviting them to explore their own expectations of university life (and, specifically, of their chosen subject) as well as their interests, motives, strengths and weaknesses and to compare these with what studying the subject is actually like.","By reflecting on one's own study‑related expectations, interests, motivations, strengths and weaknesses, and aligning them with the “actual” conditions in the field, prospective students should be supported in their orientation process.",0.7958,39.92,"By examining one's own study‑related expectations, interests, motivations, strengths and weaknesses, and comparing them with the actual conditions of the subject, prospective students can be supported in their orientation process.",0.8067,43.9
"Die OSA setzen also an einem Punkt der Studienorientierung an, an dem bereits ein Fach oder mehrere Fächer in die engere Wahl gezogen wurden und der/die OSA-Teilnehmende bereit ist, sich konkret und länger mit dem jeweiligen Fach auseinanderzusetzen.",The OSAs thus come in at a point in a prospective student’s decision-making process at which they have already shortlisted one or more subjects and are ready to spend longer looking at each in specific detail.,The OSA therefore intervene at a point in the study orientation where a subject or several subjects have already been narrowed down and the OSA participant is ready to engage concretely and for an extended period with the respective subject.,0.7724,36.66,"Thus, the OSA intervene at a stage of academic-orientation where a subject—or several subjects—has already been narrowed down, and the OSA participant is ready to engage concretely and at length with the chosen field.",0.7587,29.7
Aufgrund mangelnder Sicherheitsupdates wird die alte OSA-Plattform Ende 2025 abgeschaltet!,The old OSA platform will be switched off at the end of 2025 due to a lack of security updates.,"Due to a lack of security updates, the old OSA platform will be shut down at the end of 2025!",0.8974,77.13,"Due to a lack of security updates, the old OSA platform will be shut down at the end of 2025!",0.8974,77.13
Die auf der Plattform vorhandenen OSA werden bis Ende 2025 gemeinsam mit den jeweiligen Fächern nach und nach inhaltlich aktualisiert und auf der neuen Plattform aufgesetzt.,"The content of the OSAs currently on the platform will be updated gradually in consultation with the relevant subject representatives between now and then, and the new OSAs will be uploaded to the new platform.",The OSA available on the platform will be gradually updated in content together with the respective subjects by the end of 2025 and will be implemented on the new platform.,0.7106,46.54,The OSA available on the platform will be gradually updated content-wise together with the respective subjects and transferred to the new platform to the end of 2025.,0.7286,46.32
"Die OSA sind als niedrigschwelliges Angebot konzipiert (keine Registrierung nötig, zeit- und ortsunabhängig im eigenen Tempo bearbeitbar, das Ergebnis hat keinen Einfluss auf Zulassungs- oder Bewerbungschancen) und geben den Teilnehmer*innen ausführliches und konstruktives Feedback sowie Hinweise zu möglichen nächsten Schritten (inklusive Verweis auf weitere zentrale und dezentrale Angebote wie Studienfachberatung, Vorkurse, …).","The OSAs are designed to be easily accessible (participants do not need to register, can take them at their own pace whenever and wherever they choose, and can rest assured that they will have no impact on application or admission prospects) and give prospective students detailed, constructive feedback as well as tips on what they might do next (including highlighting other services offered centrally and locally such as subject-specific advice and preliminary courses).","The OSA are designed as a low‑threshold offering (no registration required, usable anytime and anywhere at one’s own pace, and the result does not affect admission or application chances) and provide participants with detailed, constructive feedback and suggestions for possible next steps (including references to additional central and decentralized services such as academic counseling, preparatory courses, …).",0.7992,43.97,"The OSA are designed as a low‑threshold what is on offer (None registration required, usable anytime and anywhere at one’s own pace, and the result does not affect admission or application chances) and provide participants with detailed, constructive feedback together with N.B. about possible next steps (including references to additional central and decentralized what is on offer such as subject counseling, preparatory courses, …).",0.7281,44.35
Das OSA erlaubt im Gegensatz zu Studierfähigkeits- oder Aufnahmetests (wie den TMS für medizinische Studiengänge) eine größere Bandbreite an Fragen und Themen sowie spezifischere Inhalte und Informationen zum Fach und dessen Ausgestaltung an der Uni Bonn.,OSAs permit a wider range of questions and topics than aptitude or admission tests (such as the Test for Medical Studies (TMS) for medical degree programs) as well as more specific content and information about the subject and how it is structured at the University of Bonn.,"The OSA allows, unlike study aptitude or admission tests (such as the TMS for medical degree programs), a broader range of questions and topics as well as more specific content and information about the subject and its structure at the University of Bonn.",0.8349,76.79,"The OSA, unlike study‑aptitude or admission tests (such as the TMS for medical programmes), allows a broader range of questions and topics, as well as more specific Content and information about the subject and its structure at the University of Bonn.",0.8119,71.06
"Neben Leistungstests können u. a. Erwartungen an das Studium/Fach, Persönlichkeitsaspekte (z. B. Motivation), Interessen (z. B. an Beispielaufgaben aus dem Studium oder an Schwerpunkten im Studium) oder nötige Vorkenntnisse thematisiert und erfasst werden.","Besides proficiency tests, they also allow prospective students’ expectations of the degree program/subject, aspects of their personality (e.g. motivation), interests (e.g. based on sample assignments taken from the degree program or on its main topics) and prior knowledge requirements to be addressed and established.","In addition to performance tests, expectations about the program/subject, personality aspects (e.g., motivation), interests (e.g., in sample assignments from the program or in study specializations), or required prior knowledge can be addressed and recorded.",0.8086,53.26,"In addition to performance tests, expectations about the studying/subject, personality aspects (e.g., motivation), interests (e.g., in sample tasks from the studying or to focal areas in the studying), and required prior knowledge can be discussed and recorded.",0.7735,44.12
Es gab bereits > 164.000 OSA-Teilnahmen.,"and have now been taken over 164,000 times.","There have already been > 164,000 OSA participations.",0.7249,28.98,"and have now been taken over 164,000 times.",0.9661,100.0
