de,en,frequency
Ein auf den Lehrberuf abzielendes OSA,An OSA geared toward the teaching profession.,1
Das Feedback dient der Informationsvermittlung und soll die Selbstreflexion der Teilnehmenden anregen.,Feedback is designed to provide information and stimulate self-reflection among participants.,1
Ebenfalls ein auf den Lehrberuf abzielendes OSA,Another OSA geared toward the teaching profession.,1
Erfasst wird v. a. die Selbsteinschätzung bzgl. Interessen und Persönlichkeitseigenschaften.,It consists mainly of self-reflection on interests and personality traits.,1
Literatur zum Thema OSA,Literature about OSAs,1
Online-Self-Assessments im Rahmen der Studienberatung.,“Online-Self-Assessments im Rahmen der Studienberatung.”,1
(Kann bei Interesse zur Verfügung gestellt werden.),(Can be made available if interested.),1
Studien Bewerbung,university-application,1
→ keine Abnahme der Entscheidung,→ Nobody makes a decision on behalf of the participants.,1
Rahmenbedingungen & Rechtliches - Promotion & Postdocphase,Framework and Legal Information for Doctoral Students and Postdocs,1
Struktur & Ablauf der Promotion,Structure and timeline of doctoral studies,1
Erste Schritte zur Promotion,First steps toward a doctorate,1
Promotionsbüros und Ordnungen,Doctoral offices and regulations,1
Binationale Promotion,Bi-national doctorate,1
Dabei wird ein Doktorgrad verliehen.,that awards a doctoral degree.,1
"Ziel ist, ein binationales Promotionsverfahren zu ermöglichen.",in order to facilitate bi-national doctoral examination procedures.,1
Gegebenenfalls findet eine Prüfung durch die Abteilung 1.0 statt.,Section 1.0 will also conduct its own review if necessary.,1
Ordnungen,Regulations,1
Prüfung vor der Veröffentlichung,Pre-publication review,1
Die Abteilung 1.1 hält Rücksprache mit dem Dekanat.,Section 1.1 then liaises with the dean’s office.,1
Wo Ordnungen zu finden sind,Where to find sets of regulations,1
Promotions- und Habilitationsordnungen,Doctoral degree and Habilitation regulations,1
Lesefassungen der Promotionsordnungen,Unofficial versions of doctoral degree regulations,1
"Bitte beachten Sie, dass nur die Amtlichen Bekanntmachungen rechtlich verbindlich sind.",Remember that only the Official Announcements are legally binding.,1
promotionsordnung,Doctoral degree regulations,1
Unterstützung der Bonn International Graduate Schools (BIGS),Support from the Bonn International Graduate Schools (BIGS),1
BIGS im Überblick,The BIGS at a glance,1
Mehr Informationen zu den BIGS,More information on the BIGS,1
Direkt die Geschäftsstelle des BIGS-Verbunds kontaktieren,Get in touch with the BIGS alliance office,1
Qualifizierungsprogramm Doctorate plusBIGS,The “Doctorate plusBIGS” training program,1
"Die angebotenen Kurse umfassen Themen wie Führungs-, Präsentations- und Management-Kompetenzen.","The courses cover topics such as leadership, presentation and management skills.",1
Weitere strukturierte Programme,Other structured programs,1
Orientierung Postdoc-Phase,Guidance for postdocs,1
Orientierung,Guidance,1
Kontakt bei Fragen zum Ablauf der Promotion,Contact for questions about the timeline for a doctorate,1
Kontakt bei Fragen zur Postdoc-Phase,Contact for questions about the postdoc phase,1
Postdoc-Beratung der Personalentwicklung,Advice for postdocs from Human Resource Development,1
Kontakt für die Prüfung von Cotutelle-Vereinbarungen,Contact for reviewing cotutelle agreements,1
Abteilung 1.1,Section 1.1,1
Kontakt für die Prüfung von Ordnungen,Contact for reviewing regulations,1
Promotionsordnung,doctoral-degree-regulations,1
Habilitationsordnung,habilitation-regulations,1
Ordnung,regulations,1
Promotionsbüro,doctoral-office,1
Graduiertenschule,graduate-school,1
Individualpromotion,individual-doctorate,1
Promotion,doctorate,1
Doktorand,doctoral-student,1
strukturiert,structured,1
Promotion & Postdocphase,Doctorates and Postdoctoral Research,1
Bleiben Sie auf dem Laufenden!,Stay up to date!,1
Bonn Doctoral Bulletin - Newsletter für Promovierende,Bonn Doctoral Bulletin—the newsletter for doctoral students,1
Newsletter für Wissenschaft & Wissenschaftsmanagement,Newsletter for academia and research management,1
promovieren,doctoral-studies,1
Nachwuchsforschung,promotion-of-early-career-researchers,1
Förderung - Promotion & Postdocphase,Funding for Doctoral Students and Postdocs,1
Promotionsinteressierte,Prospective doctoral students,1
Fördermöglichkeiten und Stipendien,Funding opportunities and scholarships,1
Individuelle Promotions- und Förderberatung,Tailored advice on doctorates and funding,1
Promovierende,Doctoral students,1
Fördermöglichkeiten der Universität Bonn,Funding available from the University of Bonn,1
Externe Fördermöglichkeiten,External funding opportunities,1
Weitere Fördermöglichkeiten,Other funding opportunities,1
Die Universität Bonn hält weitere Fördermöglichkeiten für Postdoktorand*innen bereit.,"However, the University of Bonn also offers other funding opportunities to postdocs.",1
Individuelle Förderberatung,One-to-one funding advice,1
Referent für den wissenschaftlichen Nachwuchs,Administrative Specialist for Early-Career Researchers,1
7.3 Förderung des wissenschaftlichen Nachwuchses,7.3 Support of Early Career Researchers,1
Ort:,Office:,1
förder,funding,1
doktorand,doctoral-student,1
förderberatung,funding-advice,1
stipendium,scholarship,1
zuschuss,grant,1
zuschüsse,subsidies,1
Beratung & Coaching - Promotion & Postdocphase,Advice and Coaching for Doctoral Students and Postdocs,1
Ombudsstelle für den wissenschaftlichen Nachwuchs,Ombudsperson Office for early-career researchers,1
Weitere Informationen Direkt Kontakt aufnehmen,More information Get in touch,1
Wir beraten unter anderem zu folgenden Themen:,including:,1
Soll ich promovieren - ja oder nein?,Should I do a doctorate?,1
Welche Finanzierungsmöglichkeiten für die Promotion gibt es?,How can I fund my doctoral studies?,1
Welche Art der Promotion (individual oder strukturiert) ist die richtige für mich?,What kind of doctorate (individual or structured) is right for me?,1
Wie kann ich meine wissenschaftliche Karriere planen?,How can I plan my career in academia?,1
Wie kann ich wissenschaftliches Fehlverhalten vermeiden?,How can I avoid scientific misconduct?,1
Online-Coaching,Online coaching,1
Das Angebot findet monatlich statt und ist kostenfrei.,Consultations are held monthly and are free of charge.,1
Mental Health während der Promotion,Mental health during your doctorate,1
Promotion im Ausland,Doing a doctorate abroad,1
Informieren Sie sich über Förder- und Beratungsmöglichkeiten für Auslandsaufenthalte.,Find out about the funding and advice offered for stays abroad.,1
Weitere Unterstützungsangebote für Promovierende,Additional support available to doctoral students,1
Postdoc-Beratung,Advice for postdocs,1
Beratungssprachen sind Deutsch und Englisch.,Sessions are offered in German and English.,1
Häufige Beratungsthemen sind:,Topics that often come up in consultations include:,1
Überfachliche Qualifizierung,General training and qualifications,1
Karriereorientierung innerhalb und außerhalb der Academia,Careers guidance within and outside academia,1
Orientierung auf dem Arbeitsmarkt und Bewerbungsprozesse,Guidance with the job market and application processes,1
Vereinbarkeit von Beruf und Familie,Compatibility of family and career,1
Anforderungen und Karrierewege in der Wissenschaft,Requirements and career paths in academia,1
Entwicklung einer Forschungsstrategie,Devising a research strategy,1
Buchen Sie hier Ihren Beratungstermin:,Book your consultation here:,1
Einzel-Coaching,One-to-one coaching,1
Dann sprechen Sie uns gern an.,please do not hesitate to contact us.,1
Erstellen eines individuellen Kompetenz- und Forschungsprofils,Creating your personal competence and research profile,1
Unterstützung für eine bessere Work-Life/Family-Balance,Help with finding a better work/life balance,1
Bewerbung auf Professuren,Applying for professorships,1
Neu in der Führungs- oder Funktionsrolle,Starting out in a new or management role,1
Umgang mit Macht und Mikropolitik,Handling power and office politics,1
"Aufbau und Entwicklung von Team, Arbeitsgruppe oder Lehrstuhl","Building and developing a team, working group or professorship",1
Strategischer Auf- und Ausbau des individuellen Forschungsprofils,Developing and expanding your personal research profile in a strategic way,1
Vorbereitung auf Zwischenevaluation oder Berufungsverhandlung,Preparing for an interim evaluation or appointment negotiations,1
Akademischer Mittelbau und Wissenschaftsmanagement,Mid-level academic staff and research management,1
Unterstützung bei Übernahme neuer Projekte,Help with taking on new projects,1
Unterstützung bei Konflikten und in Veränderungsprozessen,Help with conflicts and change processes,1
Lehrende,Teachers,1
Individuelle Lehrberatung,Personalized teaching advice,1
Beratung im Fach oder im Team,Subject-specific or team consultations,1
Weitere Angebote,Additional services,1
Interessenvertretungen für Beschäftigte,Defending employees’ interests,1
Arbeiten mit Familie,Combining a career with family life,1
Psychosoziale und gesundheitliche Beratung,Psychosocial and health counseling,1
Unterstützung für benachteiligte Gruppen,Support for disadvantaged groups,1
Dann geben Sie uns gern eine Rückmeldung.,we would love to hear your feedback.,1
Beratung,advice,1
Unterstützung,support,1
Konflikt,conflict,1
Hilfe,help,1
Belastung,stress,1
Probleme,problems,1
Ombudspersonen,ombudspersons,1
Eine Stunde - Ein Job - Eine Perspektive,One Hour—One Job—One Perspective,1
Weiterbildung & Karriereentwicklung - Promotion & Postdocphase,Continual Professional and Career Development for Doctoral Students and Postdocs,1
Argelander Programm,The Argelander Program,1
Nachfolgend finden Sie unsere Qualifizierungsangebote.,Below is a list of our training courses.,1
Doctorate plus - überfachliche Qualifizierung,“Doctorate plus”—interdisciplinary training,1
Doctorate plus - Qualifizierungsprogramm,The “Doctorate plus” training program,1
"Research, Research Management und Business and Organizations.","Research, Research Management, and Business and Organizations.",1
Zertifikat Doctorate plus,The “Doctorate plus” certificate,1
Zertifikat Research Track:,Research Track certificate:,1
Zweiteiliges individuelles Karriere-Coaching mit Fokus auf der Planung einer wissenschaftlichen Karriere,two-part one-to-one careers coaching focusing on planning an academic career,1
Zertifikat Research Management Track:,Research Management Track certificate:,1
Zweiteiliges individuelles Karriere-Coaching mit Fokus auf außeruniversitären Karriereoptionen,two-part one-to-one careers coaching focusing on career options outside a university setting,1
E-Trainings,E-training courses,1
Die E-Trainings ergänzen das Doctorate plus-Qualifizierungsprogramm.,These courses supplement the “Doctorate plus” training program.,1
E-Trainings von TwentyOne Skills,TwentyOne Skills e-training courses,1
Die E-Trainings sind anrechenbar für das Zertifikat Doctorate plus.,The e-training courses can be counted toward the “Doctorate plus” certificate.,1
E-Trainings von PINKTUM,PINKTUM e-training courses,1
Die E-Trainings von PINKTUM sind insbesondere für den außerakademischen Bereich konzipiert.,PINKTUM’s e-training courses are geared primarily toward working outside a university environment,1
Pro Kalenderjahr ist die Teilnahme an bis zu sieben E-Trainings möglich.,and are allowed to take up to seven in a calendar year.,1
Veranstaltungen zur Karriereorientierung,Careers guidance events,1
Argelander Career Talks,“Argelander Career Talks”,1
Compliance-Veranstaltungsreihe: Better safe than sorry,“Better safe than sorry” series of compliance events,1
Careers plus,“Careers plus”,1
Qualifizierungsprogramm ab Postdoc-Level entlang der drei Career-Tracks:,This postdoc training program is divided into three career tracks:,1
"Research, Research Management, Business & Organizations.","Research, Research Management, and Business and Organizations.",1
Postdoc Day,“Postdoc Day”,1
"2023 lag der Fokus auf ""Science & Politics"".",2023’s was “Science & Politics.”,1
Job Talk,“Job Talk”,1
Seien Sie dabei und kommen Sie ins Gespräch.,Come along and join the conversation.,1
Wissenschaftskommunikation,Science communication,1
Weibliche Forschende,Female researchers,1
Die meisten Mentoring-Programme in der Wissenschaft arbeiten mit dem Prinzip des One-to-One-Mentorings.,"Most mentoring programs in academia follow the one-to-one mentoring principle,",1
Qualifizierungsunterstützung (STEP 1),Training support (STEP 1),1
Recruiting (STEP 2),Recruitment (STEP 2),1
Onboarding und Commitment (STEP 3),Onboarding and commitment (STEP 3),1
Mitgestaltung (STEP 4),Co-organization (STEP 4),1
Weibliche Netzwerke (STEP 5),Female networks (STEP 5),1
Hochschuldidaktische Qualifizierung,University teaching qualification,1
Lehrberatung,Teaching advice,1
Beratung und Qualifizierung für Lehrende Direkt Kontakt aufnehmen,Advice and training for teachers Get in touch,1
Beratung und Qualifizierung für Lehrende,Advice and training for teachers,1
zertifikat,certificate,1
qualifizierung,training,1
karriere,career,1
wissenschaftskommunikation,science-communication,1
Internationales - Promotion & Postdocphase,International Matters for Doctoral Students and Postdocs,1
Internationale Promovierende mit Abschlussziel,International doctoral students working toward a degree,1
Zulassung und Einschreibung als Promotionsstudent*in,Admission and enrollment as a doctoral student,1
Erste Schritte zur Promotion:,First steps toward a doctorate:,1
Promotionsbüros und Ordnungen:,Doctoral offices and regulations:,1
Einschreibung:,Enrollment:,1
"Administratives (Visum, Aufenthaltstitel, KV...)","Administrative matters (visa, residence permit, health insurance, etc.)",1
Visum:,Visa:,1
Host agreement,Hosting agreement,1
Aufenthaltstitel:,Residence permit:,1
Krankenversicherung:,Health insurance:,1
Fördermöglichkeiten der Universität Bonn:,Funding available from the University of Bonn:,1
Externe Fördermöglichkeiten:,External funding opportunities:,1
Pro-Motion Angebote für internationale Promovierende,“Pro-Motion” services for international doctoral students,1
Internationale Promovierende ohne Abschlussziel,International doctoral students not working toward a degree,1
Zulassung und Einschreibung als visiting student,Admission and enrollment as a visiting student,1
Dafür muss üblicherweise ein host agreement eingereicht werden.,This usually requires submitting a hosting agreement,1
Internationale Postdocs,International postdocs,1
"Veranstaltung zur Karriereorientierung ""Careers""",“Careers” careers guidance event,1
Ansprechperson bei Fragen zur Beratung und Betreuung internationaler Promovierender,Contact for queries regarding advice and support for international doctoral students,1
Ansprechperson bei Fragen zur Beratung und Betreuung internationaler Postdocs,Contact for queries regarding advice and support for international postdocs,1
Netzwerkveranstaltung,networking-event,1
Karriereveranstaltung,career-event,1
die Ausschreibungstexte (deutsch/englisch),The text for the job posting (in German/English),1
Die Lehr- und Forschungsleistungen der Kandidat*innen sind durch fachkundige Gutachter*innen zu beurteilen.,Candidates’ track records in teaching and research must be assessed by referees.,1
Besetzung einer Professur,Appointing to a professorship,1
Besetzung einer unbefristeten Professur,Appointing to a permanent professorship,1
"dem Beschluss des Fakultätsrates,",The faculty council resolution,1
die festgelegten gewichteten Kriterien für die Auswahl unter den Bewerbungen sowie,Your final weighted criteria for shortlisting applicants,1
Besetzung einer zeitlich befristeten Professur,Appointing to a fixed-term professorship,1
Besetzung einer Professur unter Verzicht auf eine Ausschreibung,Appointing to an unadvertised professorship,1
Stellen für Hochschullehrer*innen sind öffentlich auszuschreiben.,"Although vacancies for university professors must be publicly advertised,",1
dem (Wieder-)Besetzungsbogen sowie,The (re-)appointment sheet,1
Berufungsordnungen und Änderungsordnungen,Appointment regulations and amendments,1
Berufungsordnung vom 24.07.2023,"Appointment Regulations of July 24, 2023",1
"Amtliche Bekanntmachungen 53. Jahrgang, Nr. 36.","Official Announcements, Year 53, No. 36",1
Berufungsordnung vom 28.11.2018 und Änderungsordnungen,"Appointment Regulations of November 11, 2018 and Amending Regulations",1
"Amtliche Bekanntmachungen 50. Jahrgang, Nr. 32","Official Announcements, Year 50, No. 32",1
"Amtliche Bekanntmachungen, 52. Jahrgang, Nr. 23","Official Announcements, Year 52, No. 23",1
Akademische Ehrenbezeichnungen:,Honorary academic titles:,1
Honorarprofessor*in und Außerplanmäßige*r Professor*in,honorary professor and adjunct professor,1
Honorarprofessor*in,Honorary professor,1
"Honorarprofessor*innen dürfen die Bezeichnung ""Professorin"" oder ""Professor"" führen.","Honorary professors are permitted to call themselves “Professor,”",1
expand-Honorarprofessorinnen,expand—honorary professors,1
Außerplanmäßige*r Professor*in,Adjunct professors,1
Die Verleihung der Bezeichnung ist eine Ermessensentscheidung.,It is awarded on a discretionary basis.,1
Ehrenbezeichnung Honorarprofessur,Honorary professorships (honorary title),1
Professuren und Berufungsverfahren der Mathematisch-Naturwissenschaftlichen Fakultät,Professorships and appointment procedures in the Faculty of Mathematics and Natural Sciences,1
Professuren und Berufungsverfahren der Landwirtschaftlichen und Philosophischen Fakultät,Professorships and appointment procedures in the Faculties of Agriculture and Arts,1
Ehrenbezeichnung Außerplanmäßige Professur,Adjunct professorships (honorary title),1
professur,professorship,1
honorarprofessur,honorary-professorship,1
berufungskommission,appointment-committee,1
geschlechterparität,gender-balance,1
"Bitte beachten Sie, dass dies lediglich eine Auflistung der Angebote ist.",Note that this is merely a list of what is on offer;,1
Dabei kann sich der Beratungsbedarf auf dienstliche oder auch private Angelegenheiten beziehen.,You may need counseling for a work or a personal matter.,1
Beratungsstelle für Beschäftigte bei psychosozialen Fragen und Konfliktbewältigung,Staff counseling service for psychosocial matters and conflict resolution,1
"Sie können sich an die Kolleg*innen wenden, wenn Sie...",You can contact your colleagues there if you,1
Betriebsärztlicher Dienst,Staff physicians office,1
mitarbeitende,staff,1
Klink für Psychosomatische Medizin und Psychotherapie,Clinic for Psychosomatic Medicine and Psychotherapy,1
Genauere Informationen entnehmen Sie bitte der Webseite.,Please see the web page for more details.,1
Psyche,mental-health,1
Gesundheit,health,1
Topicpersonal,topic-staff,1
Gesundheitsangebote Healthy Campus Bonn,Health Services from Healthy Campus Bonn,1
Ihre Gesundheit liegt uns am Herzen!,Your health is important to us!,1
"Uns ist es wichtig, dass wir auf Ihre Bedarfe eingehen können.","Because we want to be able to respond to your needs,",1
Unser Ansatz,Our approach,1
Verhältnisse,Conditions,1
Verhalten,Behavior,1
Körperlich gesund,Physical health,1
Augenentspannung/-training,Eye relaxation/training,1
Dies ist als halb- oder ganztägiges Seminar durchführbar.,It can be arranged as either a half-day or a full-day seminar.,1
Die aktuellen Termine und weitere Informationen zu den Inhalten finden Sie hier.,You can find upcoming dates and more information on the content here.,1
Bewegung und Sport,Exercise and sport,1
Erleben Sie gemeinsame Freude an Sport und Bewegung.,"Exercising and playing sport together with others is great fun,",1
Bitte beachten Sie dabei die jeweiligen Anmeldefristen und unterschiedlichen Kostenbeiträge.,Remember that certain activities may have specific registration deadlines and costs.,1
Mobile Massage,Mobile massages,1
Ernährung,Healthy eating,1
Eine ausgewogene Ernährung ist nicht nur für das körperliche Wohlbefinden von Relevanz.,"Not only is a balanced diet important for physical well-being,",1
Dieses Angebot befinden sich noch im Aufbau.,We are still developing this service,1
Daher bitten wir Sie noch um etwas Geduld.,so would ask you for your patience at this time.,1
Dann nehmen Sie bitte Kontakt mit uns auf (siehe unten).,please get in touch with us (see below).,1
Mental gesund,Mental health,1
Resilienz,Resilience,1
Weitere Termine sind in Planung.,More dates are in the pipeline,1
"Sobald diese feststehen, werden wir Sie über diese Seite informieren.",and will be advertised here as soon as they have been finalized.,1
Stressmanagement,Stress management,1
Mentalstrategien für Promovierende,Mental strategies for doctoral students,1
Weitere Informationen und die aktuellen Termine gibt es hier.,More information and a list of upcoming dates are available here.,1
Miteinander gesund,Social health,1
Stärken und Ressourcen im Team,Team strengths and resources,1
Emotionale Intelligenz,Emotional intelligence,1
Aktionen & Events,Campaigns and events,1
Firmenlauf Bonn,Bonn Company Run,1
"Der nächste Firmenlauf findet statt am Do, 13.06.24.","The next Company Run is on Thursday, June 13, 2024.",1
Healthy Campus Bonn Woche,Healthy Campus Bonn Week,1
Zweimal im Jahr findet die Healthy Campus Bonn Woche statt.,"The Healthy Campus Bonn (HCBN) Week is held twice a year,",1
Die nächste Aktionswoche wird im November 2023 stattfinden.,The next campaign week is slated for November 2023.,1
Stadtradeln Bonn,City Cycling in Bonn,1
Frischekick & Atempause,Freshness kick and breather,1
Das geht mit unseren digitalen Gesundheitsangeboten.,"With our digital health services, you can do just that.",1
Aktuell sind unsere digitalen Gesundheitsangebote in Bearbeitung.,Our digital health services are currently in development.,1
Die Angebote sind ursprünglich während der akuten Phase der Corona-Pandemie entstanden.,"They originally came about during the darkest days of the coronavirus pandemic,",1
Die Überarbeitung dieser Angebote wird noch einige Zeit in Anspruch nehmen.,We still need a bit of time to overhaul these services,1
Daher bitten wir Sie um etwas Geduld.,so would ask you for your patience.,1
Pausen Express,lunch-break-express,1
Ergonomie,ergonomics,1
Resilienz,resilience,1
Ernährung,nutrition,1
Firmenlauf,company-run,1
Stadtradeln,city-cycling,1
Entspannung,relaxation,1
Mental Strategien,mental-strategies,1
Arbeitsplatz,workplace,1
Gemeinsame Berufung,Joint Appointments,1
Grundlagen Gemeinsamer Berufungen,Basic principles of joint appointments,1
Außeruniversitäre Einrichtungen,Non-university institutions,1
Deutsche Elektronen-Synchrotron (Desy),Deutsches Elektronen-Synchrotron (DESY),1
Max-Planck-Institut für Neurobiologie des Verhaltens – caesar,Max Planck Institute for Neurobiology of Behavior – caesar,1
Durchführung eines gemeinsamen Berufungsverfahrens,Conducting a joint appointment procedure,1
In dieser Vereinbarung wird das Verfahren zur Besetzung der Professur geregelt.,This agreement sets out the procedure for appointing to the professorship.,1
dem (Wieder-)Besetzungsbogen,The (re-)appointment sheet,1
Der Ausschreibungstext ist mit der kooperierenden Institution abzustimmen.,which must be agreed with the partner institution,1
In der Ausschreibung ist auf die gemeinsame Berufung hinzuweisen.,and must make reference to the joint appointment,1
Modelle der Gemeinsamen Berufung,Joint appointment models,1
Jülicher Modell (Beurlaubungsmodell),The Jülich model (the “leave of absence model”),1
Berliner Modell (Erstattungsmodell),The Berlin model (the “reimbursement model”),1
Ein weiteres Modell für eine gemeinsame Berufung ist das Berliner Modell.,"Another model for joint appointments is the Berlin model,",1
"Dieses sieht vor, dass der*die Professor*in an eine Hochschule berufen wird.",where the professor is appointed to a university.,1
Zudem entrichtet die außerhochschulische Einrichtung einen Versorgungszuschlag.,The non-university institution also pays them supplementary pension benefit.,1
Probleme bereiten im Berliner Modell aktuell steuerrechtliche Fragen.,Issues of tax law are currently posing problems for the Berlin model.,1
Karlsruher Modell (Nebentätigkeitsmodell),The Karlsruhe model (the “secondary employment model”),1
Ausnahmen hiervon sind zwar unter bestimmten Umständen möglich.,"Although exceptions can be made in certain circumstances,",1
Berufung,appointment,1
Berufungsverfahren,appointment-procedure,1
Gemeinsame,joint,1
Außeruniversitär,nonuniversity,1
Anfragen können Sie per E-Mail an Herrn Holger Müller (holger.mueller@lund-languages.com) richten.,You can email your inquiries to Holger Müller (holger.mueller@lund-languages.com).,1
Derlei Anfragen können Sie per E-Mail an Herrn Holger Müller (holger.mueller@lund-languages.com) richten.,You can email inquiries of this kind to Holger Müller (holger.mueller@lund-languages.com).,1
"Übersetzungen, Korrektorate und Lektorate","Translation, Proofreading and Editing",1
Leistungen des Zentralen Übersetzungsservice,What the Central Translation Service can do,1
Der ZÜS übernimmt dabei die Koordination und Vergabe der Aufträge.,The Central Translation Service takes care of coordinating and placing this work.,1
Was der Zentrale Übersetzungsservice nicht anbietet,What the Central Translation Service cannot do,1
Anfragen,Inquiries,1
Anfrage Bitte füllen Sie das Anfrageformular weiter oben aus.,Inquiry Please fill in the form above.,1
Bei Annahme des Angebots wird der Auftrag vergeben.,"Once you accept the quote, the order will be placed.",1
Tipps für eine optimale Auftragsabwicklung,Tips to help the process run as smoothly as possible,1
Terminplanung:,Scheduling:,1
Auftragsdauer bei Übersetzungen oder Korrektoraten:,Turnaround times for translation and proofreading work:,1
Auftragsdauer bei Lektoraten wissenschaftlicher Texte:,Turnaround times for editing academic texts:,1
Dateiformate,File formats,1
Fachvokabular,Specialist vocabulary,1
Referenzmaterial,Reference material,1
Häufig gestellte Fragen (FAQ),Frequently asked questions (FAQs),1
Zielgruppe,Target group,1
Unterstützt der Zentrale Übersetzungsservice auch das Universitätsklinikum Bonn?,Does the Central Translation Service also support the University Hospital Bonn?,1
Sprechen Sie den ZÜS gern hierauf an.,You are welcome to contact the Central Translation Service about this.,1
Wer trägt die Kosten für Sprachdienstleistungen?,Who pays for language services?,1
Lektorate wissenschaftlicher Texte erfolgen nach dem Vier-Augen-Prinzip.,Academic texts are edited in line with the four-eyes principle.,1
"Kriterien des „gewöhnlichen“ Lektorats (Copy Editing) sind Stil, Sprache und Terminologie.","“Standard” editing (“copy editing”) looks at style, language and terminology,",1
Beim „erweiterten“ Lektorat (Substantive Editing) wird auch die Struktur des Textes geprüft.,while “enhanced” editing (“substantive editing”) also checks the structure of the text.,1
Hierfür ist ggf. mehr Zeit einzuplanen.,You may need to plan in more time for this.,1
Lieferant LUND Languages wird automatisch aufgeführt.,“LUND Languages” will be added automatically as the supplier.,1
Zeitrahmen,Timeframes,1
Wie viel Bearbeitungszeit muss ich einkalkulieren?,How much lead time do I need to factor in?,1
Konkrete Termine können erst nach Erhalt Ihres Textes bestätigt werden.,Specific deadlines can only be confirmed on receipt of your text(s).,1
Gibt es einen Eil-Service?,Is there an express service?,1
Die Bearbeitungszeit richtet sich immer nach dem Textvolumen.,Lead time always depends on text volume.,1
Bearbeitung,The process,1
Wer übersetzt bzw. korrigiert/lektoriert meinen Text?,Who will translate/proofread/edit my text?,1
Mit welchen externen Dienstleister*innen arbeitet die Universität zusammen?,Who are the external service providers that the University works with?,1
Ist dies möglich?,Is that possible?,1
Können wir dies ohne Einbezug des Zentralen Übersetzungsservice organisieren?,Can we get this organized without involving the Central Translation Service?,1
Es besteht die Möglichkeit einer Finanzierung aus zentralen Mitteln.,and the costs can be covered from central funds.,1
"Grundsätzlich sind Sie natürlich nicht verpflichtet, diesen Service zu nutzen.","Of course, you are under no obligation to use this service.",1
Normalerweise gilt:,The general rule is that,1
Fachvokabular und Englischvarietät,Specialist vocabulary and variety of English,1
Werden Wünsche hinsichtlich der Terminologie berücksichtigt?,Will my terminology requests be taken into consideration?,1
Grundsätzlich gilt:,"Essentially,",1
Grundsätzlich ja.,"Fundamentally, yes you can.",1
Amerikanisches oder britisches English?,US or British English?,1
Angebotsumfang,Services offered,1
Übersetzt der Zentrale Übersetzungsservice auch andere Sprachen?,Does the Central Translation Service also offer translations into other languages?,1
Der ZÜS bietet Übersetzungen aus dem Deutschen ins Englische an.,The Central Translation Service translates from German into English.,1
Die Konditionen (Rahmenvertrag) finden Sie hier.,The terms and conditions (framework agreement) can be found here.,1
Leider bietet der ZÜS keine Übersetzungen wissenschaftlicher Texte an.,"Unfortunately, the Central Translation Service does not translate academic texts.",1
Styleguide,Style guide,1
Ansprechpartnerin,Contact,1
Dienstfahrten,Business trips,1
Es wird keine private Anmeldung der Mitarbeiter*in benötigt.,Employees do not need to register in a personal capacity.,1
Vorteil:,The benefit is that,1
Für die dienstliche Nutzung gibt es gesonderte Konditionen.,Special terms apply to work use.,1
Private Nutzung,Personal use,1
Vorteile für Mitarbeitende der Universität:,Benefits for University employees:,1
"Keine Anmeldegebühr (Ersparnis 30,- €) bei freier Tarifwahl.",No registration fee (saving €30) and free choice of tariff,1
Bei der Anmeldung muss ein Nachweis des Arbeitsverhältnisses vorgelegt werden.,You will need to prove your employment status when you register.,1
Nähere Informationen zum Uni Bonn Angebot:,More details of the offer available at the University of Bonn:,1
cambio Carsharing,cambio carsharing (available in German only),1
Anmeldung,Registration,1
Hierzu benötigen Sie,You will need:,1
Führerschein,Driver’s license,1
Personalausweis,ID card,1
gültigen Studierenden- bzw. Mitarbeitendennachweis,Valid proof of student or employee status,1
Anmeldung,Register,1
Anschließend ist eine Validierung Ihrer Daten notwendig.,"You will then need to have your details verified,",1
Diese können Sie entweder in folgenden Vertriebsstellen,which you can do at one of the following points of sale:,1
"Geschäfts-, Vertriebsstellen",Stores and other points of sale,1
Campus Poppelsdorf,Poppelsdorf Campus,1
Allgemeine Studierendenausschuss (AStA),General Students’ Committee (AStA),1
Rheinische Friedrich-Wilhelms-Universität Bonn,University of Bonn,1
Bonn Poppelsdorf,Bonn-Poppelsdorf,1
MIDAS Kiosk Clemens-August-Straße 24-26,MIDAS Kiosk Clemens-August-Straße 24–26,1
Bonn Beul,Bonn-Beuel,1
Öffnungszeiten:,Opening hours:,1
Montag bis Samstag 09:00 - 22:00 Uhr,Monday to Saturday 9 am to 10 pm,1
Sonntag: 09:00 - 21:00,Sunday 9 am to 9 pm,1
cambio Geschäftstelle Köln,"cambio store, Cologne",1
cambio Köln/Bonn Maastrichter Str. 41-43 50672 Köln,cambio Cologne/Bonn Maastrichter Str. 41–43 50672 Cologne,1
oder online durchführen,"Alternatively, you can do this online:",1
Online-Validierung,Online verification (available in German only),1
Online-Validierung,Online verification,1
cambio Stellplätze,cambio parking spaces,1
an der Universität Bonn,at the University of Bonn,1
Folgende Stellplätze stehen an Liegenschaften der Universität Bonn zur Verfügung:,Parking spaces are available on the following University of Bonn premises:,1
"• Juridicum, Adenauerallee 46a, 53113 Bonn-Innenstadt","• Department of Law, Adenauerallee 46a, 53113 Bonn-Innenstadt",1
"• Meteorologisches Institut, Auf dem Hügel 20, Bonn-Endenich","• Institute of Meteorology, Auf dem Hügel 20, Bonn-Endenich",1
